,InvoiceNo,StockCode,name,parent_category,Quantity,InvoiceDate,price,CustomerID
19,309026,752,LAIMON FRESH STILL LIGHT  0.5 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",5,11/17/2022 22:13,1.1,1857
20,602623,801,KALINKA YAG 5KQ,SÜD MƏHSULLARI VƏ YUMURTALAR,4,07/15/2022 11:39,5.76,1993
21,130831,496,FERRERO ROCHER QUTU ŞOKOLAD 125 QR,ŞİRNİYYAT,4,06/17/2022 11:53,9.55,5001
22,103977,2968,WINSTON XS BLUE SIQARET,SİQARETLƏR,2,09/06/2022 11:07,3.7,5600
23,819820,2424,UNICONF KRASNIY OKTYABR KARA-KUM ŞOKOLAD KQ,ŞİRNİYYAT,3,03/13/2022 21:34,20.99,7231
24,894058,2214,GILTEKS AG ARMURLU UZ DESMALI 50X90 400GR,TEKSTİL,1,05/08/2022 17:49,3.99,7972
25,932162,3546,PINAR LABNE 400 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,2,03/09/2023 06:11,7.15,5317
26,245602,2459,YEDOY DONER LAVAS PEHRIZ 10 EDED,UN VƏ QƏNNADI MƏHSULLARI,2,03/02/2023 12:09,1.8,1470
27,492975,2393,KOTEX TAMPON NORMAL 8 ƏDƏDLİ,ŞƏXSİ BAXIM,1,02/02/2023 09:03,5.19,8259
28,734544,2411,UNICONF SLAVYANSKİYE PROSTORI KONFET KQ,ŞİRNİYYAT,3,04/10/2022 09:42,15.05,9279
29,395296,351,RECEPT OT PRIRODI YESSENTUKI N17 MINERAL SU 1.5 LT,ALKOQOLSUZ İÇKİLƏR,3,08/04/2022 05:01,2.0,1443
30,834317,3434,BREST-LITOVSK KLASSIK PENDIR 45% 210QR,SÜD MƏHSULLARI VƏ YUMURTALAR,3,12/15/2022 08:34,5.49,8891
31,157872,2819,TV LED TCL 40S65A,MƏİŞƏT TEXNİKASI,2,10/12/2022 14:52,439.0,6979
32,226586,1605,KISHMISH SARI B KQ,MEYVƏ VƏ TƏRƏVƏZ,5,01/26/2023 17:22,7.99,6272
33,935648,2616,WANT LINE X NANO APPLE-MINT KAPSUL SIQARET,SİQARETLƏR,1,11/26/2022 13:41,2.6,3531
34,283092,908,AQUA LIFE QAZSIZ SU 0.5 LT,ALKOQOLSUZ İÇKİLƏR,2,08/30/2022 17:54,0.29,8918
35,858316,2966,ROTHMANS DEMI CLICK PURPLE KAPSUL SIQARET,SİQARETLƏR,1,09/13/2022 03:39,2.6,2304
36,639512,1515,SACBURAN FEN ROWENTA CF2132,MƏİŞƏT TEXNİKASI,2,05/23/2022 05:25,29.99,3618
37,105160,3579,SARIKIZ LIMON ƏTİRLİ QAZLI SU 0.2 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",3,06/06/2022 00:14,0.95,7144
38,320575,150,MILCH HAUS GOUDA PENDIR 1KQ,SÜD MƏHSULLARI VƏ YUMURTALAR,3,09/16/2022 06:48,18.5,2852
39,421776,2500,MAMAM BAKERY BULKA QOZLU,UN VƏ QƏNNADI MƏHSULLARI,5,10/18/2022 16:08,0.59,5426
40,997392,1524,YORK TƏMİZLİK FIRÇASI,EV TƏMİZLİYİ VƏ AKSESUARLARI,5,08/08/2022 03:43,1.99,1422
41,589194,1344,GOLDEN ROSE DODAQ BOYASI VELVET MAT N 03,ŞƏXSİ BAXIM,1,03/01/2022 23:52,5.99,2594
42,928630,1525,BIOMIO PALTAR ÜÇÜN LƏKƏ ÇIXARICI 750ML,EV TƏMİZLİYİ VƏ AKSESUARLARI,2,05/17/2022 13:32,10.35,1910
43,345795,1118,CACHET AĞ PLİTKA ŞOKOLAD KAKOSLU 100 QR,ŞİRNİYYAT,5,12/13/2022 13:43,4.75,7195
44,700776,169,NIVEA SPRAY DEO KISI MEN ULTRA 150ML,ŞƏXSİ BAXIM,4,05/12/2022 08:05,6.75,4818
45,966584,464,BALTİKA N7 PİVƏ 0.47 LT,SPİRTLİ İÇKİLƏR,3,03/30/2022 17:33,2.89,7953
46,260462,2434,UNICONF PTİÇYE MOLOKO QAYMAQLI VANİLLİ KQ,ŞİRNİYYAT,2,08/29/2022 10:07,15.19,5373
47,685245,149,NOVA GOUDA PENDIR 1KQ,SÜD MƏHSULLARI VƏ YUMURTALAR,2,01/28/2023 02:36,18.19,7762
48,279501,93,PAMPERS USAQ BEZİ JUMBO 15+ KG N6 52 ƏDƏDLİ,KÖRPƏ VƏ UŞAQLAR,3,03/04/2023 05:56,27.49,4996
49,915193,715,COCA-COLA ŞƏKƏRSİZ  0.3 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",2,03/16/2023 02:51,0.7,5387
50,375367,448,STARAPRAGA PİVƏ 0.5 LT,SPİRTLİ İÇKİLƏR,4,03/03/2023 09:05,2.45,4084
51,341520,396,ETİ BENIMO ŞOKOLADLI BİSKVİT 77 QR,ŞİRNİYYAT,2,01/01/2023 10:27,1.2,4077
52,213124,442,PAULANER HEFE-WEISSBIER PİVƏ 0.5 LT,SPİRTLİ İÇKİLƏR,2,09/27/2022 00:53,5.9,8718
53,646187,2565,İSGƏNDƏR 8 İLLİK KONYAK 0.5 LT,SPİRTLİ İÇKİLƏR,2,02/27/2023 10:00,23.99,2533
54,222256,520,DIROL FRESH NANƏ 13.6 QR,ŞİRNİYYAT,3,04/05/2022 07:22,0.7,4275
55,477524,2473,COREKCI NAXCIVAN LAVASI 5 EDEDLI,UN VƏ QƏNNADI MƏHSULLARI,4,05/09/2022 14:32,1.15,6770
56,910977,3651,PAŞABAHÇE SU STƏKANI 285ML (FAZENDA),EV VƏ MƏTBƏX ƏŞYALARI,2,07/31/2022 10:34,3.49,8739
57,491110,2973,WANT LINE X COMPACT BLUEBERRY-MINT KAPSUL SIQARET,SİQARETLƏR,4,12/11/2022 16:06,2.6,5385
58,150185,9,HUGGIES MEGA USAQ BEZİ OGLAN ÜÇÜN N3 80ED,KÖRPƏ VƏ UŞAQLAR,5,05/31/2022 02:04,41.79,2321
59,583461,3640,MAL ƏTİNDƏN QİYMƏ,ƏT VƏ TOYUQ,2,12/15/2022 01:14,9.99,9303
60,917126,1101,BABAYEVSKİY ORİGİNAL ŞOKOLAD PLİTKASI 100 QR,ŞİRNİYYAT,3,06/02/2022 19:16,1.99,6709
61,722641,398,ETİ PUF KOKOSLU ZEFİRLİ PEÇENYE 18 QR,ŞİRNİYYAT,1,03/15/2023 10:11,0.33,9680
62,607411,2525,ABŞERON TWIST KARTOFLU,UN VƏ QƏNNADI MƏHSULLARI,4,02/24/2023 18:19,0.95,4679
63,720145,3011,WINCHESTER COMPACT BLUE SIQARET,SİQARETLƏR,2,01/30/2023 09:03,2.8,7375
64,285445,1717,NATAKHTARI SAPERAVI ÜZÜM LIMONADI  1 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",4,05/12/2022 19:11,2.65,7194
65,701009,102,RAMSUD KESMIK 1KQ,SÜD MƏHSULLARI VƏ YUMURTALAR,5,12/16/2022 18:13,4.59,5626
66,283623,2807,PL7 BLUETOOTH SPEAKER,MƏİŞƏT TEXNİKASI,4,08/13/2022 23:51,309.0,6761
67,536024,2531,MAMAM BAKERY SOR QOGAL,UN VƏ QƏNNADI MƏHSULLARI,4,05/01/2022 19:50,0.79,7160
68,351250,3168,ORAL-B ELEKTRİKLİ DİŞ FIRÇASI 3D AG,ŞƏXSİ BAXIM,5,08/05/2022 01:48,48.99,2016
69,672108,35,TEXNOK UŞAQ KONSTRUKTORU 458,KÖRPƏ VƏ UŞAQLAR,1,12/07/2022 08:08,4.59,5303
70,936800,248,BAKI ELEQANT SOSİS KQ,QASTRONOMİYA,5,06/10/2022 05:39,7.2,4669
71,212566,1427,XORTICA ICE ARAQ 0.5 LT,SPİRTLİ İÇKİLƏR,2,01/29/2023 23:48,11.59,8886
72,675191,1422,BELIY VOLK ETİKETLİ ARAQ 1 LT,SPİRTLİ İÇKİLƏR,4,01/17/2023 05:52,13.29,6877
73,420854,1939,REFRIGERATOR SAMSUNG RT43K6000EF/WT,MƏİŞƏT TEXNİKASI,4,09/09/2022 17:19,1499.0,5483
74,117985,761,LAIMON FRESH SƏRİNLƏŞDİRİCİ İÇKİ 0.5 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",3,06/03/2022 23:24,1.1,8126
75,517823,2796,GILTEKS KREM 1NEFERLIK YATAQ DESTI,TEKSTİL,4,06/11/2022 14:58,39.99,4677
76,611205,2706,WC MEISTER TOILET BLOCK TWINPACK OCEAN,EV TƏMİZLİYİ VƏ AKSESUARLARI,2,08/16/2022 14:09,3.89,9409
77,673947,1316,PRELEST SAÇ ÜÇÜN SPREY 200 ML,ŞƏXSİ BAXIM,4,07/19/2022 05:08,4.55,7953
78,191375,511,DIROL FRESH ŞİRİN NANƏ 13.6 QR,ŞİRNİYYAT,2,10/26/2022 00:36,0.7,7507
79,525972,1651,TIDE YUYUCU TOZ AG VƏ RƏNGLİ PALTARLAR ÜÇÜN LAVANDA TƏRKİBLİ 1.35 KG,EV TƏMİZLİYİ VƏ AKSESUARLARI,3,10/05/2022 19:26,7.95,6544
80,393251,902,RECEPT OT PRIRODI YESSENTUKI N17 MINERAL SU 1.5 LT,ALKOQOLSUZ İÇKİLƏR,3,05/31/2022 03:40,2.0,6423
81,757325,1395,BEEFEATER JİN 0.7 LT,SPİRTLİ İÇKİLƏR,3,07/15/2022 03:29,48.49,3202
82,608508,952,BERG SKYLINE ENERJI İÇKİSI  0.25 LT,ALKOQOLSUZ İÇKİLƏR,2,08/03/2022 19:27,0.7,1414
83,117139,2512,VALESTO BÖRƏK GÖBƏLƏKLİ,UN VƏ QƏNNADI MƏHSULLARI,2,01/26/2023 21:01,0.99,5075
84,866004,1993,SAFEGUARD MAYE SABUN LAVANDA AROMALI 225 ML,ŞƏXSİ BAXIM,4,11/04/2022 09:02,4.39,9912
85,828176,1259,BETA EARL GREY 100Q QUTU,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",2,02/13/2023 02:32,2.65,3558
86,268215,1902,WASHING MACHINE WW65K52E69SDLP,MƏİŞƏT TEXNİKASI,3,03/12/2022 01:02,879.0,6545
87,402275,1383,PAULANER HEFE-WEISSBIER PİVƏ 0.5 LT,SPİRTLİ İÇKİLƏR,3,06/17/2022 15:22,5.9,1022
88,647029,3646,MƏRCAN PREMİUM SOYUDULMUŞ FİLE KQ,ƏT VƏ TOYUQ,3,04/21/2022 06:52,9.0,3737
89,168429,871,RASTİŞKA MORUQ-BANAN YOQURT 70 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,5,10/09/2022 22:54,1.59,7241
90,724146,3744,DELIFRANCE SOKOLADLI FINDIQLI KRUASSAN,UN VƏ QƏNNADI MƏHSULLARI,3,09/19/2022 19:00,1.49,3516
91,891252,3691,BIZIM TARLA SOYULMUŞ POMIDOR 640QR,BAQQALİYƏ,3,07/18/2022 02:13,2.25,5786
92,272998,1357,OLA SILK PAMBIQ DISKLƏR 120 ƏDƏD,ŞƏXSİ BAXIM,3,11/04/2022 11:00,2.29,4761
93,288322,1212,ŞAHENŞAH BASMATI DÜYÜ 910Q BANKA,BAQQALİYƏ,3,05/15/2022 10:35,4.99,3584
94,147680,1756,HIT TUZ RUHU 600ML,EV TƏMİZLİYİ VƏ AKSESUARLARI,5,08/24/2022 12:57,1.55,2864
95,906781,3480,SAMSUNG SM-A127 3GB/32GB BLACK,MƏİŞƏT TEXNİKASI,5,09/16/2022 00:54,319.0,9818
96,726038,1749,VITA1000 ANANAS ŞİRƏSİ  1 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",2,05/15/2022 18:04,2.29,2449
97,755281,2463,ALMAN ÇÖRƏYİ N1 400 QR,UN VƏ QƏNNADI MƏHSULLARI,2,03/03/2023 00:26,0.95,8352
98,890629,7,HUGGIES MEGA USAQ BEZİ OGLAN ÜÇÜN N4+ 60 ED,KÖRPƏ VƏ UŞAQLAR,3,09/18/2022 10:49,41.79,9397
99,700847,2962,WANT LINE X NANO APPLE-MINT KAPSUL SIQARET,SİQARETLƏR,2,06/27/2022 21:50,2.6,9501
100,739692,3263,SEVİMLİ DAD DOKTOR KQ,QASTRONOMİYA,5,10/19/2022 12:06,12.69,9556
101,791783,664,ÇIKO PÜSTE 40 QR,ŞİRNİYYAT,3,09/03/2022 14:20,2.99,1915
102,863072,365,GƏDƏBƏY QAZSIZ SU 1 LT,ALKOQOLSUZ İÇKİLƏR,5,10/07/2022 04:39,0.7,4363
103,357715,3567,MOR-MOR QAZLI SU 1 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",4,10/11/2022 15:41,0.75,4703
104,714728,1498,TRIMMER PHILIPS BT1216/10,MƏİŞƏT TEXNİKASI,3,03/09/2023 18:02,69.0,3789
105,303518,3409,PAŞABAHÇE DƏRİN BOŞQAB 22SM  (BOHO),EV VƏ MƏTBƏX ƏŞYALARI,3,12/08/2022 00:24,6.99,9553
106,283081,1767,FRUKTOVIY SAD PORTAĞAL NEKTARI  2 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",1,04/28/2022 22:35,4.15,1989
107,511955,827,VALIO KERE YAGI 82% 500QR,SÜD MƏHSULLARI VƏ YUMURTALAR,1,07/30/2022 00:47,10.5,3492
108,154506,63,PRINCESS DODAQ PARILDADICISI ÇİYƏLƏK 10ML,KÖRPƏ VƏ UŞAQLAR,5,03/26/2022 10:43,7.75,2547
109,287799,793,YENI ZELLANDIYA KERE YAGI 1KQ,SÜD MƏHSULLARI VƏ YUMURTALAR,5,03/08/2022 09:58,17.59,1796
110,828473,1227,ANKARA SPAGETTI 500QR,BAQQALİYƏ,5,09/06/2022 18:33,1.79,8694
111,727124,3083,HUGGIES ULTRA COMFORT UŞAQ BEZİ N3 5-9 KQ OĞLANLAR ÜÇÜN 21 ƏDƏD,KÖRPƏ VƏ UŞAQLAR,4,08/24/2022 14:50,12.39,3825
112,653701,1411,WHITE WATER ARAQ 0.5 LT,SPİRTLİ İÇKİLƏR,2,02/14/2023 01:43,11.19,5439
113,156348,2389,BELLA HERBS DÜNDƏLİK BEZ MİNAÇİÇƏYİ 60 ƏDƏD,ŞƏXSİ BAXIM,4,06/14/2022 02:14,6.35,7621
114,156805,3758,VALESTO BOREK TOYUQ ETLI,UN VƏ QƏNNADI MƏHSULLARI,3,01/20/2023 19:04,0.99,9285
115,114305,838,ACTIVIA NAS MANQO PAPAYA UZUM CHIA 150 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,4,04/04/2022 03:28,1.59,5108
116,246292,3223,BRAVO BEST MAL ƏTININ KOLBASA,QASTRONOMİYA,4,12/08/2022 07:01,12.95,8280
117,692222,3394,ARGEM PLASTİK STƏLAN 180 ML 100 ƏDƏD,EV VƏ MƏTBƏX ƏŞYALARI,2,05/15/2022 21:11,2.35,7543
118,564619,1630,PREDOX YUYUCU TOZ LEYLƏK BAXÇASI 9KG,EV TƏMİZLİYİ VƏ AKSESUARLARI,3,03/15/2022 22:35,19.35,9148
119,430049,1519,FEN ROWENTA CF5820,MƏİŞƏT TEXNİKASI,5,06/12/2022 16:24,139.99,5589
120,348598,3288,SARİSİNO PO-SAR SÜDLÜ SOSİS 440 QR,QASTRONOMİYA,1,09/20/2022 02:07,9.99,6979
121,931998,1890,HEINZ SÜDLÜ MEYVƏLİ SIYIQ 12AY+200QR,KÖRPƏ VƏ UŞAQLAR,2,09/15/2022 09:31,6.49,3496
122,579797,1394,BALTIKA N9 ALBALI ƏTİRLİ PİVƏ 0.45 LT,SPİRTLİ İÇKİLƏR,1,03/11/2023 09:46,2.85,2448
123,960466,1303,PALMOLIVE SABUN ÇİYƏLƏK AROMALI 90 QR,ŞƏXSİ BAXIM,3,03/17/2023 03:43,1.39,7533
124,206205,281,HALAL NEMƏT MANQALÜSTÜ SOSİS PC,QASTRONOMİYA,4,10/10/2022 14:28,12.99,2027
125,633473,2113,SAMSUNG A32 4GB/128GB VIOLET,MƏİŞƏT TEXNİKASI,4,11/07/2022 05:53,549.0,7126
126,774053,637,FRIXX TARXUN CHIPS 70QR,ŞİRNİYYAT,5,05/19/2022 00:04,0.59,9688
127,998608,301,ÇERKİZOVO RUSKAYA İPLİ DOKTOR 500 QR,QASTRONOMİYA,2,03/26/2023 17:07,7.99,4554
128,834535,140,VALIO FIN YAG 79% 200 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,2,05/13/2022 21:12,4.05,9636
129,596118,2995,SOBRANIE COMPACT BLACK SIQARET,SİQARETLƏR,5,09/05/2022 19:29,4.1,9570
130,140636,1345,GOLDEN ROSE ENLIK TERROCOTTA MINERAL N 02,ŞƏXSİ BAXIM,2,09/15/2022 13:05,12.49,3187
131,589115,2422,ALBENI MİNİ KQ,ŞİRNİYYAT,4,04/02/2022 21:48,15.05,4080
132,430534,1091,GOPLANA KLASSİK ŞOKOLAD PLİTKASI 90 QR,ŞİRNİYYAT,3,10/23/2022 03:05,2.19,6133
133,526784,610,TOZSORAN FC8294/01,MƏİŞƏT TEXNİKASI,1,04/17/2022 04:54,299.0,3710
134,695650,591,TOZSORAN KARCHER WD 2 1.629-764.0,MƏİŞƏT TEXNİKASI,3,09/09/2022 07:13,99.99,3220
135,945320,836,RASTISHKA KOKTEYL CIYELEK 210 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,2,07/13/2022 05:17,1.59,8251
136,362155,2669,IMPERIAL CLASSIC QS SILVER SİQARET,SİQARETLƏR,4,05/29/2022 07:06,2.5,3643
137,267392,1130,NESTLE NESQUIK ŞOKOLAD BATONU 28 QR,ŞİRNİYYAT,1,05/22/2022 01:09,0.5,6966
138,507853,1472,MARTINI PROSECCO 0.75 LT,SPİRTLİ İÇKİLƏR,4,08/13/2022 03:48,37.49,7519
139,429971,448,STARAPRAGA PİVƏ 0.5 LT,SPİRTLİ İÇKİLƏR,5,10/14/2022 18:02,2.45,3912
140,989374,3007,SOBRANIE COMPACT BLUE SIQARET,SİQARETLƏR,3,12/29/2022 12:48,4.1,4937
141,199232,176,REXONA DEZODORANT KİŞİ ÜÇÜN KOBALT QURU 150 ML,ŞƏXSİ BAXIM,2,01/20/2023 08:42,4.45,8295
142,297685,1712,ERIKLI QAZSIZ SU 0.5 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",3,02/02/2023 06:55,1.15,6318
143,621487,2123,PL5 BLUETOOTH SPEAKER,MƏİŞƏT TEXNİKASI,4,05/09/2022 06:13,219.0,2144
144,958693,746,QIZIL QUYU TƏRXUN LIMONADI  1.5 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",3,06/20/2022 10:01,1.85,5779
145,597897,2361,UZUN OMUR IVANOVKA QATIQ 700 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,1,09/17/2022 18:13,1.98,8893
146,838466,2975,KENT CRYSTAL SILVER SIQARET,SİQARETLƏR,2,03/26/2022 18:09,3.8,3984
147,116969,2612,KENT STICK CLASSIC TOBACCO GLO SIQARET,SİQARETLƏR,3,06/04/2022 09:17,3.5,5150
148,704608,3078,PAMPERS UŞAQ BEZİ BÖYÜK BAĞLAMA N5 78 ƏDƏD,KÖRPƏ VƏ UŞAQLAR,5,11/12/2022 07:02,45.99,3266
149,502835,3601,MIA DUŞES LIMONADI  0.75 LT,ALKOQOLSUZ İÇKİLƏR,5,04/28/2022 00:29,1.26,8841
150,787854,2124,SAMSUNG A72 6GB/128GB BLUE,MƏİŞƏT TEXNİKASI,1,08/22/2022 13:38,999.0,6891
151,739053,2178,SAMSUNG SM-A037 4GB/64GB BLUE A03S,MƏİŞƏT TEXNİKASI,1,07/11/2022 12:44,299.0,4959
152,260630,1673,ARIEL TABLET RƏNGLİ PALTARLAR ÜÇÜN 30 ƏDƏD,EV TƏMİZLİYİ VƏ AKSESUARLARI,1,10/20/2022 12:46,33.99,2329
153,667306,2549,YEDOY NAXÇIVAN LAVAŞI 5 ƏDƏDLİ,UN VƏ QƏNNADI MƏHSULLARI,4,11/19/2022 11:31,1.07,3325
154,119752,580,ÇAYNİK MR-011,MƏİŞƏT TEXNİKASI,2,12/19/2022 16:21,25.0,3605
155,539104,1699,AKBAR ÇAY İRİ YARPAQ 500Q QUTU,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",1,01/22/2023 03:31,13.05,8993
156,929908,1375,MOLPED BEZ SUPERNIGHT SUPER UZUN 5X16,ŞƏXSİ BAXIM,4,05/29/2022 05:46,3.45,2271
157,824393,808,WESTGOLD KERE YAGI 82.8% 400 QR,SÜD MƏHSULLARI VƏ YUMURTALAR,2,08/04/2022 20:31,7.95,3505
158,606275,262,OVQAT ƏLA NÖV KRAKOV KOLBASA KQ,QASTRONOMİYA,2,06/07/2022 09:27,15.4,7949
159,212224,2217,GILTEKS AG 2NEFERLIK YATAQ DESTI,TEKSTİL,3,03/28/2022 17:08,59.99,6912
160,507172,3494,SAMSUNG T505 GALAXY TAB A7 10.4 3GB/32GB SILVER,MƏİŞƏT TEXNİKASI,3,01/15/2023 15:27,479.0,2697
161,541989,2046,XORTICA ICE ARAQ 0.5 LT,SPİRTLİ İÇKİLƏR,1,01/12/2023 20:21,11.59,9134
162,355122,1932,REFRIGERATOR SAMSUNG RT32K5132WW/WT,MƏİŞƏT TEXNİKASI,5,11/25/2022 12:03,1169.0,5458
163,784715,3372,SOGAN QIRMIZI KG,MEYVƏ VƏ TƏRƏVƏZ,2,02/12/2023 22:19,1.59,1065
164,818942,2196,TURK QEHVESI HAZIRLAYAN SINBO SCM-2951,MƏİŞƏT TEXNİKASI,2,11/14/2022 09:08,19.99,6817
165,561491,3669,ZEYTUN QARA TUMSUZ TORRENT 300,BAQQALİYƏ,4,09/06/2022 07:24,2.89,8287
166,760722,1061,GARNIER COLOR NATURALS SAÇ BOYASI ŞOKALAD 5.15,ŞƏXSİ BAXIM,2,04/14/2022 22:49,5.35,4956
167,811014,3374,BADAM B KQ,MEYVƏ VƏ TƏRƏVƏZ,5,01/07/2023 16:59,20.99,8907
168,782108,2986,ROTHMANS DEMI CLICK VOLT KAPSUL SIQARET,SİQARETLƏR,3,08/21/2022 05:40,2.7,6109
169,592203,2373,MOLPED ULTRA NORMAL WINGS 8PCS,ŞƏXSİ BAXIM,2,03/19/2023 02:13,3.39,1807
170,862955,363,BADAMLI QAZLI SU 1.5 LT,ALKOQOLSUZ İÇKİLƏR,5,12/07/2022 14:06,1.0,9364
171,726599,3541,AZERSUD AG PENDIR 500QR,SÜD MƏHSULLARI VƏ YUMURTALAR,4,08/31/2022 22:10,5.39,7382
172,919866,1071,GARNIER COLOR NATURALS SAÇ BOYASI ŞABALID YENİ 4,ŞƏXSİ BAXIM,3,07/05/2022 04:50,5.35,2510
173,331938,1220,SULTAN BASMATI DÜYÜ 5KQ KİSƏ,BAQQALİYƏ,1,03/19/2022 17:23,19.65,1692
174,488201,451,ƏFSANƏ 7.2% PİVƏ 0.45 LT,SPİRTLİ İÇKİLƏR,2,02/16/2023 18:45,2.15,7126
175,991165,989,ECE YAŞIL TUMLU ZEYTUN 720Q,BAQQALİYƏ,2,08/31/2022 02:11,8.79,6264
176,741438,1807,CAPPY PORTAĞAL ŞİRƏSİ  0.2 LT,"ÇAY, QƏHVƏ VƏ SƏRİNLƏŞDİRİCİ İÇKİLƏR",4,11/11/2022 11:04,0.49,8659
177,641092,1165,UNICONF BABAYEVSKIY ORIGINAL KONFET KQ,ŞİRNİYYAT,5,04/10/2022 00:53,18.99,8828
178,234216,2454,YEDOY SAC LAVAS,UN VƏ QƏNNADI MƏHSULLARI,3,06/04/2022 23:28,0.59,1875
179,317523,3753,VALESTO BOREK PENDIR VE ISPANAQLI,UN VƏ QƏNNADI MƏHSULLARI,5,03/12/2022 17:31,0.99,1058
180,860416,358,BADAMLI QAZSIZ SU 0.3 LT,ALKOQOLSUZ İÇKİLƏR,5,07/31/2022 12:18,0.8,4969
181,693197,2519,OVEN SIMIT COVDAR,UN VƏ QƏNNADI MƏHSULLARI,3,07/19/2022 09:07,0.99,6925
182,192187,3190,ORAL-B DİŞ MƏCUNU UŞAQLAR ÜÇÜN 75 ML,ŞƏXSİ BAXIM,2,03/25/2022 00:16,3.69,2822
183,509883,1958,GILLETTE TƏRAŞ KÖPÜYÜ HƏSSAS DƏRİ ÜÇÜN 200 ML,ŞƏXSİ BAXIM,2,03/19/2022 07:50,5.19,9502
184,180638,2608,NEO MAGNETIC PINEAPPLE GLO SIQARET,SİQARETLƏR,5,06/05/2022 02:12,4.2,3415
